<<<<<<< HEAD
img_idx,vf (m/s),af (m/s^2),wz (deg/s),res0,res1,res2,res3,res4,res5
00000,16.018,-0.060,2.755,0.086,0.883,0.029,0.001,0.000,0.000
00003,16.012,-0.061,3.034,0.301,0.445,0.252,0.002,0.000,0.000
00006,16.003,-0.109,3.243,0.356,0.215,0.427,0.002,0.000,0.000
00009,15.992,-0.160,3.476,0.458,0.147,0.392,0.003,0.000,0.000
00012,15.987,-0.073,3.782,0.503,0.143,0.351,0.003,0.000,0.000
00015,15.999,0.184,3.802,0.507,0.200,0.289,0.003,0.000,0.000
00018,16.012,0.214,3.803,0.568,0.182,0.245,0.004,0.000,0.000
00021,16.024,0.132,3.790,0.634,0.146,0.215,0.005,0.000,0.000
00024,16.042,0.154,3.695,0.697,0.126,0.170,0.007,0.000,0.000
00027,16.057,0.128,3.586,0.744,0.132,0.114,0.009,0.000,0.000
00030,16.067,0.102,3.435,0.739,0.155,0.097,0.010,0.000,0.000
00033,16.079,0.098,3.375,0.708,0.209,0.073,0.009,0.000,0.000
00036,16.086,0.131,3.202,0.785,0.135,0.070,0.009,0.000,0.000
00039,16.090,0.094,2.836,0.784,0.142,0.065,0.008,0.000,0.000
00042,16.092,0.055,2.420,0.790,0.159,0.042,0.009,0.000,0.000
00045,16.099,0.142,1.914,0.802,0.154,0.035,0.008,0.000,0.000
00048,16.117,0.302,1.487,0.702,0.261,0.030,0.007,0.000,0.000
00051,16.124,-0.038,1.472,0.622,0.347,0.026,0.006,0.000,0.000
00054,16.122,-0.108,1.539,0.680,0.285,0.030,0.005,0.000,0.000
00057,16.112,-0.169,1.538,0.764,0.198,0.033,0.004,0.000,0.000
00060,16.107,-0.040,1.294,0.763,0.207,0.026,0.004,0.000,0.000
00063,16.111,0.077,1.111,0.738,0.230,0.028,0.004,0.000,0.000
00066,16.117,0.098,1.105,0.654,0.303,0.039,0.004,0.000,0.000
00069,16.123,0.054,0.993,0.618,0.328,0.047,0.007,0.000,0.000
00072,16.126,-0.017,0.847,0.542,0.366,0.083,0.010,0.000,0.000
00075,16.121,-0.094,0.640,0.469,0.414,0.098,0.019,0.000,0.000
00078,16.113,-0.025,0.565,0.448,0.459,0.062,0.031,0.000,0.000
00081,16.117,0.081,0.507,0.603,0.308,0.040,0.048,0.000,0.000
00084,16.131,0.155,0.405,0.688,0.240,0.021,0.051,0.000,0.000
00087,16.140,0.050,0.433,0.767,0.174,0.017,0.042,0.000,0.000
00090,16.143,0.021,0.464,0.817,0.135,0.014,0.033,0.000,0.000
00093,16.148,0.010,0.357,0.860,0.103,0.012,0.025,0.000,0.000
00096,16.152,0.049,0.286,0.879,0.089,0.012,0.019,0.000,0.000
00099,16.167,0.222,0.345,0.883,0.088,0.010,0.019,0.000,0.000
00102,16.194,0.190,0.320,0.876,0.100,0.010,0.014,0.000,0.000
00105,16.202,0.006,0.140,0.860,0.117,0.011,0.013,0.000,0.000
00108,16.198,-0.018,0.244,0.888,0.091,0.011,0.010,0.000,0.000
00111,16.211,0.174,0.202,0.872,0.107,0.013,0.009,0.000,0.000
00114,16.230,0.234,0.177,0.808,0.171,0.013,0.008,0.000,0.000
00117,16.251,0.148,0.163,0.808,0.171,0.015,0.007,0.000,0.000
00120,16.269,0.213,0.139,0.880,0.099,0.013,0.008,0.000,0.000
00123,16.274,-0.159,0.148,0.863,0.116,0.014,0.007,0.000,0.000
00126,16.263,-0.179,0.247,0.860,0.119,0.013,0.007,0.000,0.000
00129,16.241,-0.583,0.238,0.816,0.165,0.012,0.007,0.000,0.000
00132,16.232,-0.053,0.266,0.796,0.186,0.012,0.007,0.000,0.000
00135,16.234,0.091,0.378,0.766,0.217,0.010,0.006,0.000,0.000
00138,16.238,-0.025,0.567,0.743,0.241,0.011,0.005,0.000,0.000
00141,16.230,-0.052,0.617,0.632,0.352,0.010,0.006,0.000,0.000
00144,16.214,-0.210,0.794,0.488,0.498,0.009,0.005,0.000,0.000
00147,16.192,-0.252,0.871,0.401,0.583,0.011,0.004,0.000,0.000
00150,16.174,-0.140,0.811,0.381,0.599,0.014,0.005,0.000,0.000
00153,16.160,-0.151,0.987,0.347,0.629,0.017,0.007,0.000,0.000
00156,16.145,-0.191,1.088,0.284,0.684,0.022,0.010,0.000,0.000
