img_idx,vf (m/s),af (m/s^2),wz (deg/s),res0,res1,res2,res3,res4,res5
00000,4.404,-0.082,0.637,0.008,0.990,0.001,0.000,0.000,0.000
00001,4.460,-0.040,0.554,0.008,0.990,0.001,0.001,0.000,0.000
00002,4.515,0.001,0.471,0.007,0.992,0.001,0.001,0.000,0.000
00003,4.571,0.042,0.389,0.009,0.989,0.001,0.001,0.000,0.000
00004,4.626,0.083,0.306,0.007,0.991,0.001,0.001,0.000,0.000
00005,4.681,0.124,0.223,0.021,0.975,0.002,0.002,0.000,0.000
00006,4.737,0.166,0.140,0.073,0.912,0.007,0.008,0.000,0.000
00007,4.792,0.207,0.057,0.210,0.749,0.019,0.022,0.000,0.000
00008,4.848,0.248,-0.025,0.235,0.718,0.023,0.023,0.000,0.000
00009,4.903,0.289,-0.108,0.214,0.742,0.022,0.022,0.000,0.000
00010,4.958,0.330,-0.191,0.187,0.772,0.022,0.018,0.000,0.000
00011,5.014,0.371,-0.274,0.130,0.841,0.018,0.011,0.000,0.000
00012,5.069,0.413,-0.356,0.103,0.874,0.017,0.007,0.000,0.000
00013,5.125,0.454,-0.439,0.226,0.734,0.025,0.014,0.000,0.000
00014,5.180,0.495,-0.522,0.404,0.535,0.029,0.031,0.000,0.000
00015,5.227,0.555,-0.419,0.443,0.508,0.021,0.027,0.000,0.000
00016,5.291,0.577,-0.688,0.487,0.465,0.014,0.033,0.000,0.000
00017,5.351,0.605,-1.490,0.500,0.457,0.010,0.033,0.000,0.000
00018,5.419,0.628,-1.959,0.492,0.476,0.010,0.022,0.000,0.000
00019,5.489,0.734,-2.169,0.408,0.564,0.008,0.020,0.000,0.000
00020,5.568,0.830,-2.708,0.359,0.618,0.005,0.018,0.000,0.000
00021,5.658,0.831,-3.205,0.339,0.638,0.005,0.018,0.000,0.000
00022,5.732,0.684,-3.381,0.373,0.604,0.006,0.016,0.000,0.000
00023,5.813,0.863,-3.313,0.321,0.660,0.008,0.012,0.000,0.000
00024,5.903,1.015,-3.531,0.144,0.846,0.004,0.006,0.000,0.000
00025,6.008,1.133,-3.391,0.101,0.892,0.003,0.005,0.000,0.000
00026,6.128,1.108,-3.414,0.132,0.860,0.004,0.004,0.000,0.000
00027,6.247,1.305,-3.593,0.111,0.882,0.004,0.003,0.000,0.000
