img_idx,vf (m/s),af (m/s^2),wz (deg/s),res0,res1,res2,res3,res4,res5
00000,3.783,-0.105,-0.682,0.011,0.986,0.002,0.001,0.000,0.000
00001,3.767,-0.147,-0.730,0.021,0.973,0.004,0.001,0.000,0.000
00002,3.751,-0.200,-0.692,0.030,0.963,0.004,0.002,0.000,0.000
00003,3.729,-0.254,-0.800,0.057,0.934,0.005,0.004,0.000,0.000
00004,3.707,-0.179,-0.816,0.085,0.902,0.006,0.007,0.000,0.000
00005,3.691,-0.158,-0.786,0.126,0.857,0.007,0.010,0.000,0.000
00006,3.671,-0.218,-0.736,0.405,0.554,0.018,0.021,0.000,0.000
00007,3.649,-0.251,-0.699,0.564,0.385,0.021,0.030,0.000,0.000
00008,3.625,-0.243,-0.348,0.701,0.241,0.022,0.036,0.000,0.000
00009,3.600,-0.225,-0.007,0.732,0.211,0.019,0.038,0.000,0.000
00010,3.576,-0.246,0.047,0.796,0.149,0.021,0.034,0.000,0.000
00011,3.550,-0.276,0.197,0.810,0.137,0.019,0.034,0.000,0.000
00012,3.521,-0.274,0.444,0.826,0.125,0.018,0.030,0.000,0.000
00013,3.495,-0.284,0.367,0.787,0.164,0.015,0.034,0.000,0.000
00014,3.462,-0.393,0.410,0.780,0.171,0.014,0.034,0.000,0.000
00015,3.417,-0.438,0.435,0.746,0.212,0.014,0.028,0.000,0.000
00016,3.370,-0.541,0.459,0.755,0.207,0.014,0.024,0.000,0.000
00017,3.314,-0.626,0.620,0.772,0.194,0.014,0.020,0.000,0.000
00018,3.247,-0.744,0.344,0.867,0.100,0.014,0.018,0.000,0.000
00019,3.173,-0.837,0.470,0.907,0.063,0.014,0.016,0.000,0.000
00020,3.079,-0.905,0.410,0.902,0.067,0.015,0.016,0.000,0.000
00021,3.002,-0.715,0.409,0.899,0.067,0.014,0.020,0.000,0.000
00022,2.939,-0.631,0.249,0.891,0.072,0.016,0.021,0.000,0.000
00023,2.871,-0.790,0.256,0.905,0.060,0.014,0.020,0.000,0.000
