img_idx,vf (m/s),af (m/s^2),wz (deg/s),res0,res1,res2,res3,res4,res5
00000,4.404,-0.082,0.637,0.008,0.990,0.001,0.000,0.000,0.000
00003,4.460,-0.040,0.554,0.011,0.986,0.002,0.001,0.000,0.000
00006,4.515,0.001,0.471,0.057,0.930,0.008,0.005,0.000,0.000
00009,4.571,0.042,0.389,0.170,0.793,0.022,0.015,0.000,0.000
00012,4.626,0.083,0.306,0.157,0.801,0.029,0.012,0.000,0.000
00015,4.681,0.124,0.223,0.260,0.685,0.034,0.021,0.000,0.000
00018,4.737,0.166,0.140,0.287,0.665,0.020,0.027,0.000,0.000
00021,4.792,0.207,0.057,0.320,0.622,0.012,0.046,0.000,0.000
00024,4.848,0.248,-0.025,0.311,0.626,0.012,0.051,0.000,0.000
00027,4.903,0.289,-0.108,0.301,0.655,0.012,0.032,0.000,0.000
00030,4.958,0.330,-0.191,0.391,0.568,0.020,0.021,0.000,0.000
00033,5.014,0.371,-0.274,0.458,0.508,0.015,0.020,0.000,0.000
00036,5.069,0.413,-0.356,0.692,0.268,0.015,0.025,0.000,0.000
00039,5.125,0.454,-0.439,0.599,0.368,0.010,0.023,0.000,0.000
00042,5.180,0.495,-0.522,0.491,0.483,0.012,0.014,0.000,0.000
00045,5.227,0.555,-0.419,0.513,0.461,0.016,0.010,0.000,0.000
00048,5.291,0.577,-0.688,0.679,0.295,0.015,0.010,0.000,0.000
00051,5.351,0.605,-1.490,0.703,0.267,0.016,0.013,0.000,0.000
00054,5.419,0.628,-1.959,0.622,0.352,0.018,0.008,0.000,0.000
00057,5.489,0.734,-2.169,0.506,0.475,0.011,0.007,0.000,0.000
00060,5.568,0.830,-2.708,0.740,0.239,0.011,0.010,0.000,0.000
00063,5.658,0.831,-3.205,0.778,0.201,0.009,0.011,0.000,0.000
00066,5.732,0.684,-3.381,0.816,0.166,0.008,0.010,0.000,0.000
00069,5.813,0.863,-3.313,0.743,0.235,0.006,0.016,0.000,0.000
00072,5.903,1.015,-3.531,0.567,0.393,0.003,0.037,0.000,0.000
00075,6.008,1.133,-3.391,0.418,0.487,0.002,0.092,0.000,0.000
00078,6.128,1.108,-3.414,0.358,0.245,0.004,0.393,0.000,0.000
00081,6.247,1.305,-3.593,0.239,0.101,0.011,0.648,0.000,0.000
00084,6.398,1.398,-3.289,0.181,0.177,0.016,0.625,0.001,0.001
00087,6.543,1.495,-2.640,0.106,0.327,0.012,0.553,0.000,0.000
00090,6.683,1.431,-2.712,0.092,0.442,0.014,0.451,0.001,0.000
00093,6.838,1.378,-2.487,0.068,0.505,0.010,0.417,0.001,0.000
00096,6.970,1.302,-1.476,0.044,0.536,0.009,0.410,0.000,0.000
00099,7.120,1.425,-0.163,0.051,0.412,0.007,0.529,0.000,0.000
00102,7.263,1.465,1.001,0.094,0.322,0.007,0.576,0.001,0.000
00105,7.406,1.468,2.461,0.184,0.283,0.004,0.528,0.000,0.000
00108,7.562,1.445,3.937,0.274,0.099,0.003,0.624,0.000,0.000
